
time,gFx,gFy,gFz,wx,wy,wz,
11.031857,0.3350,-1.3711,-0.0469,-0.4516,-0.1653,0.1165,
11.132882,0.2529,-0.8320,0.0781,-1.9376,-0.0386,0.1932,
11.232765,0.1104,-0.7656,0.1055,-2.2131,0.0732,0.2557,
11.332861,0.8467,-1.0235,-1.3184,-1.8486,0.0944,0.1900,
11.433726,0.7061,-1.1387,-0.4883,-1.1169,-0.0781,-0.4863,
11.534391,0.2549,-1.2637,0.2871,-0.5408,-0.0833,-0.0451,
11.634636,0.3311,-1.1289,-0.0039,-0.1012,-0.0012,0.0414,
11.734805,0.4248,-0.8945,-0.0918,0.5305,0.0003,0.2274,
11.835539,0.4756,-1.1309,0.1973,1.2224,-0.0009,0.2728,
11.935981,0.6045,-1.2461,0.0410,1.2883,-0.0005,-0.2686,
12.035414,0.5772,-1.2989,-0.4063,1.3299,-0.2058,-0.2171,
12.136556,0.5108,-1.5078,0.6231,0.9005,-0.2686,-0.1058,
12.236763,0.3232,-1.3867,0.0020,-0.7471,0.3452,0.1467,
12.336283,0.1436,-0.8360,0.1856,-2.1923,0.3162,0.1377,
12.437294,0.0264,-0.8047,-0.0195,-2.3955,0.5336,0.3199,
12.537856,0.9873,-1.0391,-1.4082,-1.7354,0.0114,0.1402,
12.637207,0.5049,-1.0508,0.0410,-0.3452,-0.3642,-0.6305,
12.738162,0.3643,-1.3633,0.3047,-0.5412,-0.2187,-0.1772,
12.838025,0.3037,-1.0879,-0.0801,-0.3726,-0.0513,-0.3002,
12.937984,0.5283,-0.9336,-0.0840,0.2487,0.0012,0.2014,
13.039022,0.4815,-1.0567,0.0313,1.2886,0.0023,0.3143,
13.139082,0.6904,-1.2422,0.0449,2.0364,0.0023,-0.0198,
13.238989,0.5361,-1.2871,-0.3106,1.6767,0.1523,0.1709,
13.340146,0.6963,-1.3946,0.5606,0.5859,0.6518,0.2225,
13.440348,0.4463,-1.3867,-0.0059,-0.4603,-0.0579,0.0518,
13.539791,0.1885,-0.8945,0.0742,-1.9495,-0.1065,-0.0334,
13.640999,0.1025,-0.7793,0.1055,-1.7024,-0.5337,-0.1199,
13.741368,0.7842,-1.0078,-1.1153,-1.6903,-0.4296,0.0518,
13.841566,0.7588,-1.0821,-0.2559,-0.8127,-0.0411,-0.0784,
13.941322,0.2314,-1.2715,0.2559,-0.4428,-0.1005,-0.1870,
14.042388,0.2256,-1.1680,0.0215,-0.6409,-0.0461,-0.2125,
14.142723,0.4541,-0.9668,-0.0898,0.0426,0.0012,-0.1183,
14.242915,0.5772,-1.0801,0.0977,0.7487,0.0023,0.1600,
14.342504,0.5264,-1.2012,0.0391,1.3328,0.0023,0.1665,
14.443691,0.3857,-1.1680,-0.1465,1.1153,0.0381,0.2423,
14.544184,0.6260,-1.4629,0.0371,0.1872,0.2524,0.2529,
14.643975,0.4463,-1.1739,0.1836,-0.2431,-0.1081,-0.0108,
14.744084,0.4111,-1.1153,0.0664,-0.8793,-0.7193,-0.2979,
14.844997,0.3428,-1.0254,-0.0117,-1.5461,-2.0601,-0.4674,
14.945356,0.4580,-1.0508,-0.1094,-1.3652,-3.6181,-0.5061,
15.045838,0.4502,-1.2715,-0.0156,-0.8959,-3.8136,-0.2225,
15.145002,0.5557,-1.1699,0.1191,0.8713,-3.8070,0.0071,
15.245972,0.3428,-1.0645,0.0020,1.5871,-4.2475,-0.0658,
